z,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,AAVE  Chatbot,,,,,Original Chatbot,,,
,,,,,,,,,,,,
,,User,,"OK, what are my options?",,,,,,,,
,,Chatbot,,"If it's a fracture, we got a couple options - we could put a cast on it or do surgery.",,,,,"Well, if it is a fracture, we can either put a cast on it or do surgery.",,,
,,User,,What's the difference?,,,,,,,,
,,Chatbot,,"A cast would keep your leg still so it can heal right, while surgery's gonna involve puttin' in some metal rods or plates to hold them bones together while they heal.",,,,,A cast would immobilize your leg so that it can heal properly. Surgery would involve putting metal rods or plates in your leg to hold the bones together while they heal.,,,
,,User,,Is one better than the other?,,,,,,,,
,,Chatbot,,"It all depends on how bad the fracture is, hun. If it's just a simple break, a cast should do the trick. But if it's more complicated, surgery might be the way to go.",,,,,"It really depends on the severity of the fracture. If it's a simple break, then a cast should be fine. But if it's a more complex break, then surgery might be necessary.",,,
,,User,,"OK, so let's say I choose surgery. What happens next?",,,,,,,,
,,Chatbot,,"We'd be doin' an operation to put them metal rods or plates in your leg, so your bones can heal right. You're lookin' at 'bout 6-8 weeks for recovery time.",,,,,We would do an operation to insert metal rods or plates into your leg to hold the bones together while they heal. Recovery time is usually around 6-8 weeks.,,,
,,User,,And if I choose a cast?,,,,,,,,
,,Chatbot,,"We'd put a plaster or fiberglass cast on your leg to keep it still, so it can heal right. You're lookin' at 'bout 4-6 weeks for recovery time.",,,,,We would put a plaster or fiberglass cast on your leg that would immobilize it so that it can heal properly. Recovery time is usually around 4-6 weeks.,,,
,,,,,,,,,,,,
,,,"In the conversation shown above, the Chatbot is acting as a Medical Assistant. ",,,,,,,,,
,,,"Considering how the Chatbot speaks in the AAVE Version (left), indicate your opinion of the following statements:",,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,Strongly Disagree,Slightly Disagree,Neutral,Slightly Agree,Strongly Agree
,,I find this chatbot to be trustworthy,,,,,,False,False,False,False,True
,,I find this chatbot to be caring and empathetic,,,,,,False,False,False,False,True
,,I find this chatbot to be offensive,,,,,,True,False,False,False,False
,,I feel like this chatbot would understand me well,,,,,,False,False,False,True,False
,,I would feel comfortable talking to this chatbot,,,,,,False,False,False,True,False
,,I feel that this chatbot is similar to me,,,,,,False,False,True,False,False
,,I would like a Medical Assistant chatbot to speak to me like this,,,,,,False,False,False,True,False
,,"This chatbot sounds like a middle-aged African American woman, speaking AAVE",,,,,,False,False,True,False,False
,,I would prefer talking to the AAVE Chatbot instead of the Original Chatbot,,,,,,False,False,False,True,False
,,,,,,,,Never,Rarely,Sometimes,Often,Always
,,This chatbot tries to speak in African American Vernacular English,,,,,,False,False,True,False,False
,,"This chatbot produces grammatically correct responses, either in AAVE or SAE",,,,,,False,False,True,False,False
,,This chatbot preserves the meaning of the original turns (shown on the right),,,,,,False,False,False,False,True
,,,,,,,,,,,,
,,,,,,,Comments,,,,,
